Set Result,Break Points,Service Breaks,Drive Returns,Slice/Block Returns,Total Returns,Backhand Returns,Backhand Returns Won,Backhand Return Win ,Forehand Returns,Forehand Returns Won,Forehand Return Win ,Drive (3rd Shot),Slice/Block (3rd Shot),Aces,Double Faults,1st Serve In ,2nd Serve In ,1st Serve Pts Won ,2nd Serve Pts Won ,1st Serve Speed (km/h),2nd Serve Speed (km/h),Unforced Errors,Forehand Avg Speed,Backhand Avg Speed,Rally ≤4 Shots,Rally 5–9 Shots,Rally ≥10 Shots,Total Points Won,Net Approaches,Winners,Distance per Set (m),Forecourt Short Balls,Midcourt Balls,Backcourt Deep Balls
1,4,2,1,3,27,8,8,1,15,12,0.8,2,0,3,0,0.75,1,0.76,0.43,190,154,11,127,115,51,9,0,33,6,3,780,0.07,0.26,0.67
1,6,2,0,3,32,16,12,0.75,13,12,0.92,1,0,2,0,0.83,1,0.93,0.67,188,152,7,125,114,46,4,0,31,7,5,720,0.02,0.4,0.57
1,10,2,0,2,58,32,28,0.88,24,18,0.75,3,2,1,2,0.63,0.71,0.92,0.71,187,151,8,124,116,70,7,0,45,11,9,690,0.07,0.33,0.6
1,3,2,0,2,22,10,10,1,10,8,0.8,3,0,7,0,0.71,1,0.68,0.67,188,167,8,137,112,52,1,0,32,2,1,1248,0.07,0.26,0.67
1,5,2,0,2,38,21,21,1,12,11,0.92,2,1,0,0,0.69,1,0.68,0.7,186,166,9,139,114,68,2,0,37,12,6,1665,0.02,0.17,0.81
1,1,1,0,2,32,20,12,0.6,10,8,0.8,2,0,5,1,0.71,0.88,0.88,0.71,187,167,7,138,113,54,2,0,31,6,4,1387,0.06,0.26,0.68
1,5,3,0,2,31,19,17,0.89,10,7,0.7,0,0,0,0,0.63,1,0.75,0.71,188,167,4,137,112,45,5,0,30,1,1,1314,0.02,0.29,0.69
1,1,1,1,0,26,13,10,0.77,12,6,0.5,0,0,2,1,0.42,0.93,0.9,0.79,186,166,8,139,114,45,4,1,28,2,2,1457,0.02,0.31,0.67
0,2,1,0,1,32,22,19,0.86,9,4,0.44,3,2,2,2,0.67,0.8,0.7,0.3,185,165,14,136,111,52,10,0,30,5,4,1457,0.03,0.16,0.8
1,5,3,1,1,19,10,9,0.9,7,6,0.86,1,0,1,1,0.76,0.75,0.69,0.75,188,167,7,138,113,34,1,1,25,2,2,875,0,0.51,0.49
1,2,2,0,4,27,17,14,0.82,6,5,0.83,3,3,1,0,0.73,1,0.59,0.75,190,150,7,125,115,48,4,5,30,8,6,950,0.01,0.18,0.81
0,7,1,0,3,60,30,27,0.9,27,17,0.63,2,3,2,3,0.68,0.75,0.8,0.33,188,149,19,127,116,78,11,8,49,18,14,1250,0.02,0.21,0.77
1,5,2,0,2,29,16,11,1,11,9,0.82,1,1,1,0,0.76,1,0.74,0.67,192,153,11,129,118,36,14,4,32,9,4,1120,0.02,0.14,0.84
1,4,2,1,3,26,12,10,0.92,10,7,0.7,1,2,2,2,0.53,0.83,0.78,0.44,189,150,13,126,116,49,9,2,31,7,2,1180,0.02,0.17,0.81
1,2,2,0,4,30,15,12,0.8,11,9,0.82,0,0,2,1,0.76,0.8,0.81,0.8,190,150,7,124,113,47,4,0,33,5,3,720,0.02,0.31,0.67
1,2,2,1,1,17,7,6,0.86,8,5,0.63,2,0,0,0,0.5,1,1,1,189,149,2,123,114,22,3,0,18,2,2,480,0.02,0.32,0.66
1,7,3,3,2,24,11,9,0.82,8,6,0.75,2,1,4,0,0.81,1,0.77,1,191,150,1,127,115,38,1,1,28,1,1,660,0.02,0.25,0.74
1,2,2,1,2,26,15,13,0.87,8,7,0.88,1,1,2,0,0.58,1,0.91,0.75,188,149,1,124,112,39,5,1,28,9,5,780,0.03,0.11,0.86
1,3,2,0,4,24,11,8,0.73,9,7,0.78,3,0,0,0,0.78,1,0.86,1,190,148,3,126,113,40,2,0,27,4,3,740,0.02,0.27,0.71
1,2,1,0,1,23,12,10,0.83,10,7,0.7,3,0,4,0,0.71,1,1,0.83,192,152,3,129,116,36,7,1,29,4,3,980,0.06,0.07,0.86
1,2,2,0,0,22,14,10,0.71,8,8,1,1,0,4,0,0.7,1,0.75,0.86,190,151,1,126,114,40,5,0,30,6,6,1120,0.01,0.27,0.72
1,4,2,1,0,28,17,11,0.65,10,7,0.7,3,0,0,0,0.76,1,0.68,0.83,193,153,5,128,115,44,9,0,30,8,7,1080,0.04,0.13,0.83
1,6,1,0,0,39,20,17,0.85,19,15,0.79,3,1,1,1,0.57,0.92,0.81,0.58,186,162,11,132,109,55,12,0,36,10,9,1061,0.04,0.34,0.62
1,4,2,0,4,22,10,10,1,8,8,1,3,0,2,1,0.59,0.86,1,0.86,190,165,7,137,112,36,3,0,27,10,9,498,0.04,0.3,0.66
1,1,1,3,0,30,17,15,0.88,10,3,0.3,0,0,1,1,0.64,0.9,0.78,0.6,188,163,12,134,110,55,3,0,31,9,5,678,0.02,0.33,0.65
1,7,2,0,2,38,17,13,0.76,19,17,0.89,0,0,3,2,0.52,0.85,0.79,0.54,187,148,15,123,112,51,13,1,35,6,3,1038,0.03,0.29,0.68
1,4,3,1,1,40,16,12,0.75,22,18,0.82,0,1,3,4,0.51,0.78,0.63,0.44,185,147,14,122,111,65,12,0,39,9,5,1380,0.04,0.28,0.69
1,7,4,1,0,25,16,16,1,8,6,0.75,2,0,1,2,0.5,0.78,0.78,0.44,188,149,6,125,114,40,3,0,29,5,3,338,0.04,0.31,0.65
1,2,2,0,0,20,11,10,0.91,9,5,0.56,2,0,3,1,0.59,0.92,0.79,0.69,187,149,10,123,111,42,7,3,31,7,5,713,0.05,0.15,0.81
1,3,1,0,0,32,17,15,0.88,15,12,0.8,0,1,1,3,0.68,0.7,0.76,0.7,190,151,11,126,113,56,7,0,36,6,4,906,0.06,0.22,0.71
1,4,2,0,1,35,23,19,0.83,11,9,0.82,0,0,2,4,0.6,0.67,0.89,0.42,188,147,10,124,112,58,7,0,38,7,6,757,0.02,0.18,0.79
0,3,0,0,0,36,20,16,0.8,16,15,0.94,2,0,0,1,0.62,0.91,0.67,0.55,184,147,13,121,110,59,3,3,30,5,5,874,0.05,0.29,0.66
0,2,1,0,1,29,18,11,0.61,10,6,0.6,0,1,2,3,0.56,0.81,0.75,0.38,182,145,17,119,111,59,6,0,28,6,4,842,0.05,0.22,0.73
0,0,0,0,0,5,3,3,1,2,1,0.5,1,0,0,1,0.75,0.5,0.67,0,180,144,5,118,109,12,1,0,5,4,3,149,0.29,0.36,0.36
1,2,1,3,9,35,8,8,1,27,21,0.78,5,0,5,0,0.72,1,0.53,0.7,188,162,14,121,108,68,9,0,40,8,4,2130,0.06,0.49,0.45
1,2,2,1,3,15,3,2,0.67,12,11,0.92,2,0,3,0,0.65,1,0.55,0.71,193,178,3,124,110,34,5,0,28,7,7,710,0.15,0.47,0.38
0,2,1,1,8,26,5,5,1,21,17,0.81,0,1,5,3,0.5,0.75,0.27,0.25,190,173,11,123,110,46,5,1,21,5,2,680,0.04,0.51,0.45
1,5,3,4,4,14,4,4,1,10,9,0.9,2,0,2,0,0.79,1,0.71,0.67,193,159,3,124,107,31,1,1,24,4,3,580,0.02,0.43,0.55
1,2,2,0,0,17,9,8,0.89,8,5,0.63,4,0,2,1,0.61,0.86,0.61,0.71,188,172,5,120,112,32,3,0,27,2,2,570,0.06,0.67,0.27
1,4,1,1,10,31,14,14,1,17,13,0.76,1,0,7,3,0.74,0.5,0.7,0.5,187,169,9,119,112,53,9,0,34,2,2,920,0.03,0.51,0.46
1,3,2,1,4,18,11,9,0.82,7,5,0.71,2,1,7,1,0.78,0.75,0.65,0.5,189,167,3,125,109,36,4,1,27,2,1,620,0.1,0.44,0.46
1,2,1,1,3,23,19,16,0.84,4,4,1,2,2,4,0,0.62,1,0.62,0.88,189,167,9,122,113,34,9,1,29,6,5,730,0.05,0.59,0.36
1,2,2,0,4,27,16,16,1,11,9,0.82,4,0,5,0,0.94,1,0.94,0.88,188,171,3,127,109,34,10,0,30,6,5,660,0.04,0.54,0.42
1,2,2,0,4,18,15,14,0.93,3,2,0.67,3,3,8,2,0.72,0.71,0.6,0.43,189,174,6,125,113,43,3,0,28,2,2,680,0.11,0.43,0.46
1,1,1,0,4,26,14,13,0.93,12,7,0.58,2,0,2,1,0.66,0.9,0.48,0.7,188,174,9,127,110,44,11,2,33,7,6,710,0.03,0.61,0.36
1,3,2,1,2,28,9,8,0.89,19,16,0.84,2,0,3,0,0.68,1,0.52,0.63,191,164,8,124,108,47,5,1,32,8,2,870,0.05,0.53,0.42
1,4,1,1,3,29,10,9,0.9,19,10,0.53,2,0,3,0,0.59,1,0.44,0.69,192,164,12,123,111,50,12,1,36,6,4,850,0.03,0.57,0.4
1,9,1,0,25,46,22,16,0.73,24,16,0.67,1,0,0,0,0.76,1,0.68,0.67,193,172,2,128,109,75,5,0,45,4,4,1060,0.06,0.34,0.6
1,3,1,0,12,21,12,9,0.75,9,8,0.89,1,4,1,1,0.55,0.93,0.42,0.6,189,163,6,126,112,51,7,0,33,5,4,890,0.08,0.49,0.43
1,4,0,0,18,37,20,13,0.65,17,14,0.82,2,1,3,0,0.74,1,0.63,0.3,188,149,7,128,112,78,12,0,48,2,2,1970,0.03,0.51,0.46
1,6,2,1,10,37,14,12,0.86,23,21,0.91,2,0,4,1,0.73,0.93,0.47,0.43,193,158,11,124,110,84,9,2,51,4,3,1840,0.01,0.58,0.41
1,4,1,0,7,29,11,5,0.45,18,15,0.83,1,0,2,0,0.63,1,0.54,0.78,194,159,4,128,110,56,2,0,33,2,2,890,0.08,0.49,0.43
1,1,1,1,6,20,12,12,1,8,6,0.75,2,1,6,0,0.79,1,0.61,0.5,193,157,6,129,113,47,5,0,29,5,5,760,0,0.48,0.52
1,4,2,0,11,42,23,20,0.87,19,17,0.89,0,0,2,0,0.8,1,0.52,0.8,186,166,14,126,114,60,9,4,40,6,4,920,0.05,0.55,0.4
0,2,1,0,4,28,16,13,0.81,12,11,0.92,4,0,1,3,0.64,0.73,0.46,0.36,186,155,13,124,108,47,10,1,27,5,4,780,0.03,0.47,0.5
